Nome del piatto,Ingredienti,Costo,Categoria,Glutenfree?,Surgelato?,Vegetariano?,Senza lattosio?,ImageName,engName,engDesc
Tagliere della Casa,"Salumi e formaggi a Km 0, taralli di produzione propria, miele biologico.",12,Antipasti,FALSE,FALSE,FALSE,FALSE,tagliere-casa.jpg,House Charcuterie Board,"Km 0 cured meats and cheeses, homemade taralli, organic honey."
"Polpettine speziate con granella di arachidi","Polpettine fritte di zucchine, curry, paprika, con panatura di granella di arachidi tostate.",6,Antipasti,FALSE,FALSE,TRUE,FALSE,polpettine-speziate.jpg,Spicy Peanut Meatballs,"Fried zucchini meatballs with curry, paprika, and breadcrumb coating with toasted peanuts."
Involtini di Bresaola e Burrata,"Bresaola della Valtellina IGP punta d'anca, farcita con Burrata di Andria IGP ed erba cipollina.",8,Antipasti,TRUE,FALSE,FALSE,FALSE,involtini-bresaola.jpg,Bresaola and Burrata Rolls,"Valtellina IGP beef bresaola, stuffed with Andria IGP burrata and chives."
Spaghetti allo scoglio,"Pasta di Gragnano IGP, con cozze, vongole, gamberi e calamari.",14,Primi,FALSE,TRUE,FALSE,TRUE,spaghetto-scoglio.jpg,Seafood Spaghetti,"Gragnano IGP pasta with mussels, clams, shrimp, and squid."
"Lasagnetta vegetariana con granella di mandorle","Sfoglia di pasta acqua e farina, ragù vegetariano di melanzane e pomodoro San Marzano DOP, basilico e granella di mandorle.",9,Primi,FALSE,FALSE,TRUE,TRUE,lasagnetta-veg.jpg,Vegetarian Lasagnetta with Almond Crumble,"Water and flour pasta sheet, vegetarian eggplant and San Marzano DOP tomato sauce, basil, and almond crumble."
Fettuccine al Ragù di Cervo,"Pasta all'uovo fatta in casa, Ragù di Cervo e formaggio Piave DOP.","12,5",Primi,FALSE,FALSE,FALSE,FALSE,fettuccine-ragu.jpg,Fettuccine with Venison Ragu,Homemade egg pasta with venison ragu and Piave DOP cheese.
Grigliata mista di Carne,"Carne a Km 0 (pollo, manzo, agnello), cotta su spiedo. Accompagnata da verdure biologiche di stagione e salse fatte in casa.",20,Secondi,TRUE,FALSE,FALSE,TRUE,grigliata-mista-carne.jpg,Mixed Meat Grill,"Km 0 meats (chicken, beef, lamb) grilled on a spit. Served with seasonal organic vegetables and homemade sauces."
Grigliata mista di Mare,"Pescato del giorno, molluschi e crostacei cotti alla griglia.",22,Secondi,TRUE,TRUE,FALSE,TRUE,grigliata-mista-mare.jpg,Mixed Seafood Grill,"Daily caught fish, mollusks, and crustaceans grilled."
Fungo Portobello ripieno,"Fungo Portobello cotto su griglia, ripieno di verdure di stagione e pesto fatto in casa. Servito con salsa di senape.",10,Secondi,TRUE,FALSE,TRUE,FALSE,fungo-portobello.jpg,Stuffed Portobello Mushroom,Portobello mushroom grilled and stuffed with seasonal vegetables and homemade pesto. Served with mustard sauce.
Tiramisù al bicchiere,"Savoiardi al caffè di nostra produzione, crema al mascarpone, spolverizzato con cacao amaro e cannella in polvere.",7,Dessert,FALSE,FALSE,FALSE,FALSE,tiramisu-bicchiere.jpg,Tiramisù in a Glass,"Homemade coffee Savoiardi, mascarpone cream, dusted with bitter cocoa and cinnamon powder."
Semifreddo al Cocco,"Mousse al cocco, composta di passion fruit e foglie di menta.",7,Dessert,TRUE,FALSE,FALSE,FALSE,semifreddo-cocco.jpg,Coconut Semifreddo,"Coconut mousse, passion fruit compote, and mint leaves."